crate,dir_name,primary_lib,repository,version,downloads,updated_at,type,lib_or_app,is_workspace,feature_label,workspace_pathway,owner,test_use,bench_use,total_loc,unsafe_loc,unsafe_pct,test_case_count,api_total,api_covered_pre,api_pct_pre,line_pct_pre,api_covered_post,api_pct_post,line_pct_post,boosted,tests_generated,iterations_used,description
bstr,bstr,bstr,https://github.com/BurntSushi/bstr,1.12.0,157691015,2025-04-08T16:37:00.152093Z,Parsing/Text,workspace,True,workspace/default,bstr/tests,DO,TRUE,,6126,324,5.2889,48,36,23,63.89,61.67,31,86.11,64.33,True,4,2,"The 48 tests cover only 40.8% of a large 267-method public API and 61.3% of lines across a 6.1K-line workspace with a meaningful 5.29% unsafe ratio, indicating that core byte string searching and basic BStr/BString construction are exercised while the majority of methods—likely including many find/replace variants, Unicode-aware iteration, lossy conversion, and the extensive ByteSlice trait surface—remain untested. The ~323 lines of unsafe code likely concentrate in UTF-8 boundary handling, unchecked slice construction, and SIMD-accelerated search internals where instrumentation could affec..."
bytemuck,bytemuck,bytemuck,https://github.com/Lokathor/bytemuck,1.23.0,32173563,2025-04-28T23:34:44.718780Z,Utilities,lib,False,default,,DO,,,2036,576,28.2908,43,38,36,94.74,51.95,38,100.0,90.8,True,3,0,"The test suite covers roughly 60% of the public API with 43 tests, but the 51.9% line coverage is notably low for a crate where over a quarter of the code is unsafe—meaning a significant portion of unsafe transmutation, casting, and alignment logic is likely unexercised. The gap between API coverage and line coverage suggests that even tested functions lack thorough edge-case exploration, which is critical for a byte-reinterpretation library where misuse leads to undefined behavior. This suite requires substantial augmentation—particularly targeting unsafe code paths, invalid alignment scen..."
byteorder,byteorder,byteorder,https://github.com/BurntSushi/byteorder,1.5.0,313630324,2023-10-06T00:45:57.877036Z,Serialization,lib,False,default,,DO,TRUE,,2609,100,3.8329,680,122,102,83.61,70.98,102,83.61,70.98,False,1,0,"The 680 tests provide exceptional breadth across 82.4% of the 131 public API methods, thoroughly exercising read/write operations for all integer and float types across BigEndian, LittleEndian, and NativeEndian byte orders, yet achieve only 71.0% line coverage, suggesting many tests are parameterized variants of similar read/write patterns that miss internal branching—likely around slice-length validation, partial reads, and error paths in the 3.83% unsafe surface. The ~100 lines of unsafe code almost certainly involve raw pointer casts and transmutations between byte slices and numeric typ..."
cc,cc-rs,cc,https://github.com/rust-lang/cc-rs,1.2.21,417581288,2025-05-02T03:31:59.628051Z,System/OS,workspace,True,workspace/default,cc-rs/tests,DO,TRUE,,7425,179,2.4108,88,75,52,69.33,63.28,67,89.33,65.05,True,12,2,"The test suite covers 72.1% of the public API with 88 tests but achieves only 63.3% line coverage, indicating that many covered functions are only partially exercised—likely due to platform-conditional logic and compiler detection paths that are hard to test portably. The low unsafe percentage (2.37%) reduces risk, but the gap between API coverage and line coverage suggests that error handling, edge cases, and platform-specific branches (where unsafe code like environment variable reads or process spawning likely resides) are undertested. For unsafe instrumentation benchmarking, the suite w..."
chrono,chrono,chrono,https://github.com/chronotope/chrono,0.4.41,286136036,2025-04-29T08:48:02.611004Z,Utilities,lib,False,default,,DO,TRUE,,19491,17,0.0872,274,324,264,81.48,88.03,264,81.48,88.03,False,0,0,"The test suite provides solid coverage with 88% line coverage and 77.7% API coverage across 274 tests, exercising the majority of chrono's date/time parsing, formatting, arithmetic, and timezone operations. The 0.09% unsafe footprint is minimal, and the existing high line coverage means the few unsafe blocks are very likely already exercised, making gaps in unsafe instrumentation negligible for benchmarking purposes. The suite is adequate as-is for unsafe instrumentation benchmarking without augmentation, though the ~22% uncovered API surface suggests some edge-case constructors or lesser-u..."
clru,clru,clru,,0.6.2,10848809,2024-05-02T21:27:57.657477Z,,,False,default,,,,,2151,17,0.7903,,36,34,94.44,93.76,34,94.44,93.76,False,0,0,
colored,colored,colored,https://github.com/mackwic/colored,3.0.0,71364228,2025-01-07T14:10:54.236785Z,Utilities,lib,False,default,,DO,TRUE,,2038,20,0.9814,19,27,20,74.07,75.59,24,88.89,83.8,True,3,2,"The 19 tests cover 62.1% of the 103 public API methods and 75.6% of lines across a 2.0K-line crate with a low 0.98% unsafe ratio, indicating core colorization methods like red, blue, bold, and basic styling are exercised while roughly 39 methods—likely including many individual color/style accessors, control flow helpers, and Windows-specific console handling—remain untested. The small amount of unsafe code is most likely related to Windows console API calls or global state manipulation for color override control, and the 75.6% line coverage leaves some uncertainty about whether these paths..."
combine,combine,combine,https://github.com/Marwes/combine,4.6.7,87873934,2024-04-10T09:56:27.206101Z,Parsing/Text,lib,False,all-features,,,FALSE,,11600,17,0.1466,40,144,79,54.86,60.43,104,72.22,67.57,True,8,5,"The 40 tests cover only 43.6% of a very large 417-method public API and achieve 60.4% line coverage across 11.6K lines, leaving the majority of parser combinators—likely including many, choice, between, sep_by, and numerous stream-specific adapters—without direct test coverage. The 0.15% unsafe ratio is negligible, meaning the tiny amount of unsafe code is likely a single pointer operation or transmute that may or may not fall within the covered 60% of lines, making the instrumentation risk low but not verifiable from coverage data alone. The suite is minimally adequate for unsafe instrumen..."
cpp_demangle,cpp_demangle,cpp_demangle,https://github.com/gimli-rs/cpp_demangle,0.4.4,31398375,2024-08-28T18:12:11.171746Z,System/OS,lib,False,default,,DO,TRUE,,10189,5,0.0491,57,16,13,81.25,90.16,13,81.25,90.16,False,0,0,"The 57 tests achieve an excellent 90.2% line coverage despite only 53.5% API coverage across a 10.2K-line crate, indicating the tests thoroughly exercise the core demangling parser through integration-style tests on mangled symbol inputs while leaving many individual AST node and formatting methods without direct unit-level coverage. The 0.05% unsafe ratio is trivially small—likely a single operation—and is almost certainly reached within the 90.2% covered lines, making unsafe instrumentation risk effectively negligible. The suite is adequate for unsafe instrumentation benchmarking due to t..."
cssparser,cssparser,cssparser,https://github.com/servo/rust-cssparser,0.35.0,16223979,2025-03-20T18:23:57.167189Z,Parsing/Text,workspace,True,workspace/default,cssparser/tests,DO,TRUE,,3743,34,0.9084,45,83,60,72.29,91.48,71,85.54,92.73,True,12,3,"The 45 tests achieve strong 76.8% API coverage and an excellent 91.5% line coverage across a 3.7K-line workspace with a low 0.91% unsafe ratio, indicating thorough exercise of the CSS tokenizer, parser entry points, color parsing, and selector matching logic while roughly 59 public methods—likely including less-common at-rule handlers, error recovery helpers, and serialization formatting variants—remain untested. The ~34 lines of unsafe code are almost certainly within the 91.5% covered lines given their likely location in performance-critical tokenizer internals or string handling, making ..."
curl,curl,curl,https://github.com/alexcrichton/curl-rust,0.4.44,26880550,2024-09-30T18:43:21.490945Z,Async/Network,lib,True,primary-only/default,curl/tests,OF,FALSE,,4240,674,15.8962,61,577,164,28.49,35.0,547,94.8,72.73,True,29,5,"The 61 tests cover only 28.5% of the 688 public API surface and achieve 35% line coverage, which is notably low for a crate with 15.9% unsafe code that wraps the libcurl C library. The async/network nature means tests likely focus on common HTTP request paths while leaving large portions of the options-setting API, error handling, and underlying unsafe FFI boundary code unexercised. This suite is inadequate for unsafe instrumentation benchmarking without significant augmentation targeting the uncovered unsafe blocks, particularly around callback mechanisms, multi-handle operations, and less..."
dashmap,dashmap,dashmap,https://github.com/xacrimon/dashmap,7.0.0-rc2,117291036,2025-03-05T17:04:26.384140Z,Data Structures,lib,False,all-features,,AN,FALSE,,3077,190,6.1748,20,123,78,63.41,48.36,104,84.55,68.08,True,17,2,"The test suite covers roughly half the API surface (57.4%) and achieves only 48.4% line coverage across 20 tests, which is inadequate for a concurrent data structure with 6.17% unsafe code that likely handles raw pointer manipulation, synchronization primitives, and memory layout concerns. Key gaps include over 90 untested public methods, meaning significant portions of unsafe code paths—particularly around concurrent access patterns, edge cases in entry APIs, and iterator safety—are likely unexercised. The suite requires substantial augmentation with targeted tests for unsafe code paths, c..."
deranged,deranged,deranged,https://github.com/jhpratt/deranged,0.4.0,132460099,2025-03-23T20:25:41.702180Z,Math/Computing,workspace,True,workspace/all-features,"deranged/deranged, deranged/deranged/tests",AN,,,2277,16,0.7027,59,1,1,100.0,74.65,1,100.0,74.73,False,0,0,"The 59 tests cover 62.5% of the public API and 74.7% of lines across a 2.3K-line crate with a low 0.7% unsafe ratio, indicating solid exercise of core ranged integer operations like construction, arithmetic, and bounds checking while leaving 3 public methods—likely conversion or niche-related functions—untested. The minimal unsafe code almost certainly relates to niche optimization or unchecked constructors, and the 74.7% line coverage suggests these paths are partially but not fully reached, leaving some unsafe invariant-dependent code potentially unverified. The suite is reasonably adequa..."
dlv-list,dlv-list,dlv_list,https://github.com/sgodwincs/dlv-list-rs,0.6.0,34535657,2024-11-17T07:31:26.465286Z,Data Structures,lib,False,default,,AN,TRUE,,2388,11,0.4606,87,40,39,97.5,98.17,39,97.5,98.17,False,0,0,"The test suite is strong with 87 tests achieving 98.2% line coverage and exercising 82% of the public API, which is well above average for a data structure crate. The 13 uncovered API functions represent a minor gap, though the very low unsafe footprint (0.46%) means the risk surface is minimal and likely already exercised by the high line coverage. The suite is adequate for unsafe instrumentation benchmarking largely as-is, though closing coverage on the remaining ~12 public methods would provide a more complete baseline for detecting any behavioral changes under instrumentation."
ego-tree,ego-tree,ego_tree,,0.10.0,6642348,2024-12-09T23:52:19.427031Z,,,False,all-features,,,,,1161,59,5.0818,,48,43,89.58,87.06,43,89.58,87.06,False,0,0,
encoding_rs,encoding_rs,encoding_rs,https://github.com/hsivonen/encoding_rs,0.8.35,197919721,2024-10-24T09:22:44.123986Z,Parsing/Text,lib,False,default,,DO,TRUE,,131225,473,0.3604,142,79,62,78.48,91.56,70,88.61,92.59,True,3,2,"The test suite achieves strong line coverage at 91.6% and exercises nearly 80% of the public API surface, which is solid for a text encoding library that must handle numerous codec edge cases across its large 131K LOC codebase. The 20% uncovered API surface represents a moderate gap, though the low unsafe percentage (0.36%) means the risk surface for unsafe instrumentation is small and likely well-covered by the high line coverage. The suite is adequate for unsafe instrumentation benchmarking without augmentation, as the minimal unsafe code is almost certainly exercised by the extensive cod..."
filetime,filetime,filetime,https://github.com/alexcrichton/filetime,0.2.25,127211515,2024-08-27T20:41:13.398704Z,System/OS,lib,False,default,,DO,,,1173,62,5.2856,10,15,11,73.33,75.46,15,100.0,80.21,True,1,2,"The 10 tests cover 70.4% of the 27 public API methods and 75.5% of lines across a compact 1.2K-line crate with a meaningful 5.29% unsafe ratio, indicating that core file timestamp retrieval and setting operations are exercised while roughly 8 methods—likely including platform-specific variants for symlinks, directory file descriptors, and nanosecond-precision accessors—remain untested. The ~63 lines of unsafe code involve direct syscalls to utimensat, futimens, or Windows SetFileTime APIs and raw file descriptor handling, and the 24.5% uncovered lines likely include platform-conditional bra..."
fixedbitset,fixedbitset,fixedbitset,https://github.com/petgraph/fixedbitset,0.5.7,157011583,2024-04-14T23:53:05.918820Z,Data Structures,lib,False,default,,AN,TRUE,,1778,134,7.5366,69,56,53,94.64,87.54,53,94.64,87.54,False,0,0,"The test suite is solid with 69 tests achieving 87.5% line coverage and exercising over 80% of the public API, providing good breadth across the bitset operations. The ~18% of uncovered API surface and the remaining line coverage gaps could overlap with the 7.54% unsafe code (likely in raw pointer manipulation for bit storage and unchecked indexing), which would be a meaningful gap for instrumentation benchmarking. The suite is largely adequate for benchmarking unsafe instrumentation overhead but would benefit from targeted tests that stress the specific unsafe paths—particularly edge cases..."
flate2,flate2,flate2,https://github.com/rust-lang/flate2-rs,1.1.1,232193528,2025-04-02T00:59:51.994945Z,Serialization,lib,False,all-features,,AN,TRUE,,3994,176,4.4066,45,198,186,93.94,76.23,186,93.94,76.23,False,0,0,"The test suite provides solid baseline coverage with 77.7% API surface coverage and 76.2% line coverage across 45 tests, exercising the core compression and decompression pathways well for a wrapper crate over native zlib/miniz backends. The 22.3% uncovered API surface and ~24% uncovered lines represent a meaningful gap, particularly since the 4.41% unsafe code likely concentrates in FFI boundary calls and buffer management where instrumentation overhead is most critical to benchmark. The suite is a reasonable starting point for unsafe instrumentation benchmarking but would benefit from tar..."
fragile,fragile,fragile,https://github.com/mitsuhiko/fragile,2.0.1,53478420,2025-03-25T12:01:07.715153Z,Concurrency,lib,False,default,,OF,TRUE,,1087,30,2.7599,24,24,15,62.5,68.03,24,100.0,76.2,True,9,2,"The 24 tests cover roughly 72% of the public API surface with 68% line coverage, which leaves meaningful gaps in a concurrency crate where the small amount of unsafe code (2.76%) likely handles critical cross-thread send/access semantics and destructor behavior. The untested 17 API functions and 32% of uncovered lines likely include edge cases around panic paths, drop behavior on foreign threads, and error handling—areas directly relevant to the correctness of unsafe invariants. For unsafe instrumentation benchmarking, the suite would need augmentation with targeted tests for the remaining ..."
fs4,fs4,fs4,https://github.com/al8n/fs4-rs,0.10.0,14685683,2025-03-08T07:55:58.680118Z,System/OS,lib,False,all-features,,DO,,,1675,48,2.8657,14,9,9,100.0,99.78,9,100.0,99.78,False,0,0,"The test suite achieves exceptional coverage at 99.8% line coverage and 93.5% API surface coverage across 14 tests, which is strong for a small system-level crate with 31 public functions. The low unsafe percentage (2.87%) combined with near-complete line coverage suggests the unsafe code paths—likely platform-specific file locking syscall wrappers—are well exercised, though with only 14 tests the error handling and edge case diversity around those unsafe boundaries may be thin. The suite is adequate as a baseline for unsafe instrumentation benchmarking, but augmenting with explicit adversa..."
getrandom,getrandom,getrandom,https://github.com/rust-random/getrandom,0.3.2,488817570,2025-04-22T19:24:48.125350Z,Crypto/Security,lib,False,default,,AN,FALSE,TRUE,1598,387,24.2178,17,6,4,66.67,33.33,6,100.0,43.8,True,26,2,"The 17 tests cover only 32.1% of the public API and 33.3% of lines in a crate with an exceptionally high 24.22% unsafe ratio, leaving the majority of platform-specific unsafe syscall wrappers, fallback paths, and error handling for entropy sources completely unexercised. The severe coverage gaps are especially problematic because getrandom's unsafe code involves direct OS interface calls, raw pointer passing to kernel APIs, and uninitialized buffer handling—precisely the operations most likely to exhibit behavioral changes under instrumentation. The suite is inadequate for unsafe instrument..."
gimli,gimli,gimli,https://github.com/gimli-rs/gimli,0.31.1,216349968,2024-10-04T08:32:55.705085Z,Serialization,workspace,True,workspace/default,gimli/tests,AN,TRUE,,39093,27,0.0691,471,588,496,84.35,89.92,496,84.35,89.92,False,0,0,"The test suite provides strong line coverage at 89.9% across 471 tests for this DWARF parsing/writing library, with 70.4% API coverage leaving roughly 341 public functions/methods untested, likely in less common DWARF extensions or builder APIs. The negligible unsafe footprint (0.07%) means the minimal unsafe code paths are almost certainly exercised by the existing high line coverage, making instrumentation overhead benchmarking straightforward but limited in scope. The suite is adequate for unsafe instrumentation benchmarking given the near-zero unsafe surface, though the 30% API coverage..."
git2,git2,git2,https://github.com/rust-lang/git2-rs,0.20.2,48329946,2025-05-05T17:12:28.010164Z,Utilities,workspace,True,workspace/default,git2/tests,DO,TRUE,,18616,4598,24.6992,188,1070,656,61.31,69.66,761,71.12,73.88,True,6,5,"The 188 tests achieve 69.7% line coverage and exercise 55.3% of the public API, which is moderate but leaves nearly half of the 1375 public functions untested — a significant gap given that 24.7% of the codebase is unsafe, largely consisting of FFI bindings to libgit2. The uncovered API surface likely includes less common git operations whose unsafe FFI boundaries remain unexercised, creating blind spots for instrumentation that targets memory safety at the Rust-C interface. For unsafe instrumentation benchmarking, the suite provides a reasonable baseline with real-world FFI patterns but wo..."
h2,h2,h2,https://github.com/hyperium/h2,0.4.10,268930029,2025-05-05T13:23:22.550936Z,Async/Network,workspace,True,workspace/default,"h2/tests, h2/tests/h2-tests",OF,FALSE,,19707,1,0.0051,419,100,85,85.0,88.99,85,85.0,88.95,False,0,0,"The 419 tests achieve an impressive 79.7% API coverage across a very large 940-method public surface and 88.9% line coverage over 19.7K lines, indicating thorough exercise of HTTP/2 connection management, stream multiplexing, flow control, HPACK header compression, and frame encoding/decoding while roughly 191 methods—likely including less-common configuration builders, error introspection accessors, and protocol edge-case handlers—remain untested. The 0.01% unsafe ratio is effectively zero, amounting to one or two lines at most, making unsafe instrumentation concerns entirely negligible fo..."
hashbrown,hashbrown,hashbrown,https://github.com/rust-lang/hashbrown,0.15.3,633389388,2025-04-30T22:12:00.743592Z,Data Structures,lib,False,default,,AN,TRUE,,10530,808,7.6733,102,191,130,68.06,69.9,157,82.2,73.09,True,4,2,"The 102 tests cover 59.2% of a large 524-method public API and achieve 70.0% line coverage across 10.5K lines with a significant 7.67% unsafe ratio, indicating that core HashMap and HashSet operations—insertion, lookup, removal, and iteration—are exercised while roughly 214 public methods spanning raw entry APIs, table-level operations, entry variants, and drain/retain iterators remain untested. The ~805 lines of unsafe code center on the critical SwissTable implementation including bucket manipulation, probe sequences, SIMD group matching, and RawTable growth/rehashing, and the 70% line co..."
hashlink,hashlink,hashlink,https://github.com/kyren/hashlink,0.10,76383904,2024-12-09T11:48:51.357012Z,Data Structures,lib,False,all-features,,AN,FALSE,,3049,433,14.2014,66,154,126,81.82,72.12,126,81.82,72.12,False,0,0,"The 66 tests cover 70.4% of the public API and 72.1% of lines in a 3.0K-line crate with a high 14.2% unsafe ratio, indicating moderate coverage of the linked hash map operations but leaving roughly 63 public methods and nearly 30% of lines—likely including raw pointer manipulation for linked-list node insertion, removal, and reordering—without direct testing. The gap between API coverage and unsafe density is concerning because hashlink's unsafe code centers on intrusive doubly-linked list operations where pointer aliasing, node unlinking, and drop ordering are exactly the paths most sensit..."
headers,headers,headers,https://github.com/hyperium/headers,0.4.0,59542787,2023-11-24T19:15:22.169731Z,Async/Network,workspace,True,workspace/default,headers/tests,OF,TRUE,,5905,1,0.0169,112,114,64,56.14,68.02,98,85.96,74.44,True,5,2,"The test suite provides 112 tests but only covers 39.1% of the 294 public API surface and achieves 68% line coverage, indicating significant portions of header parsing, formatting, and edge-case handling are untested. Given the near-zero unsafe usage (0.02%), the gap in coverage is less critical for unsafe instrumentation benchmarking specifically, though the undertested API surface means many header type implementations likely lack validation of malformed input handling. The suite would need augmentation to reach adequate API coverage for comprehensive benchmarking, but the minimal unsafe ..."
http,http,http,https://github.com/hyperium/http,1.3.1,306095495,2025-03-11T20:19:56.370499Z,Async/Network,workspace,True,workspace/default,http/tests,OF,TRUE,,8569,64,0.7469,127,195,111,56.92,67.39,167,85.64,74.44,True,5,2,"The 127 tests cover 56.0% of a large 361-method public API and 67.4% of lines across an 8.6K-line workspace with a low 0.75% unsafe ratio, indicating that core Request/Response builders, URI parsing, HeaderMap operations, and StatusCode handling are exercised while roughly 159 methods—likely including many HeaderName/HeaderValue accessors, Method variants, Extensions API, and less-common URI component methods—remain untested. The ~65 lines of unsafe code likely reside in HeaderMap's internal hash table implementation involving probe sequences and bucket manipulation, and the 67.4% line cove..."
http-body,http-body,http_body,https://github.com/hyperium/http-body,1.0.1,76408742,2024-07-12T15:49:01.533452Z,Async/Network,workspace,True,workspace/default,"http-body/http-body, http-body/http-body/tests",OF,FALSE,,1840,14,0.7609,30,19,12,61.54,65.21,18,94.74,67.57,False,0,1,"The test suite covers roughly 61.5% of the public API and achieves 65.2% line coverage across 30 tests, leaving meaningful gaps in both surface area and execution paths for a crate with async/network semantics. The low unsafe percentage (0.76%) means the untested regions are unlikely to concentrate unsafe code, but the nearly 40% of uncovered API surface raises concern that edge cases around body polling, trailers, and size hints may lack validation, which matters for instrumentation that hooks into those paths. The suite is functional but inadequate for confident unsafe instrumentation ben..."
httparse,httparse,httparse,https://github.com/seanmonstar/httparse,1.10.1,242419525,2025-03-03T14:44:09.975762Z,Async/Network,lib,False,default,,OF,TRUE,,2980,623,20.906,100,25,14,56.0,88.98,25,100.0,94.64,True,3,2,"The 100 tests achieve 66.1% API coverage and a strong 89.0% line coverage across a 3.0K-line crate with a very high 20.91% unsafe ratio, indicating thorough exercise of the core HTTP request/response parsing pipeline—including SIMD-accelerated header scanning and status line parsing—while roughly 40 public methods, likely including various Header accessors, partial parse state methods, and less-common configuration options, remain untested. The ~627 lines of unsafe code span SIMD byte scanning for delimiters, unchecked slice indexing for performance-critical header parsing, and raw pointer ..."
imgref,imgref,imgref,,1.11.0,8868806,2024-10-15T23:33:53.542951Z,,,False,default,,,,,1095,38,3.4703,,34,31,91.18,76.98,31,91.18,76.98,False,0,0,
indexmap,indexmap,indexmap,https://github.com/indexmap-rs/indexmap,2.9.0,488570963,2025-04-04T23:17:05.300032Z,Data Structures,workspace,True,workspace/default,indexmap/tests,AN,TRUE,,7837,8,0.1021,85,290,188,64.83,69.35,257,88.62,84.25,True,28,2,"The 85 tests cover 64.9% of a large 576-method public API and 69.4% of lines across a 7.8K-line workspace, indicating that core IndexMap and IndexSet operations—insertion, lookup, iteration in order, and swap_remove—are exercised while roughly 202 public methods, likely including many entry API variants, range operations, drain/split_off, sorting methods, and serde integration, remain untested. The 0.1% unsafe ratio is negligible, amounting to roughly 8 lines that are almost certainly within the covered lines, making unsafe instrumentation concerns irrelevant for this crate. The suite is ad..."
