name,workload description
fragile,"Generated suite: 24 tests, 100.0% API. Covers Fragile, Sticky, SemiSticky, registry; gaps: panic-on-drop, cross-thread destruction/async poll edges."
fs4,"Suite: 14 tests, 100.0% API. Covers file locking, allocation, filesystem capacity queries/platform file APIs; gaps: adversarial locking races, permission errors/platform-specific syscall failures."
getrandom,"Generated suite: 17 tests, 100.0% API. Covers buffer filling, uninitialized-slice helpers, Error/generated backend modules for Linux; gaps: target-specific entropy backends/real OS failure modes."
gimli,"Suite: 471 tests, 84.3% API. Covers DWARF parsing/writing, sections, abbreviations, expressions; gaps: rare DWARF extensions, builder APIs/malformed debug-info edges."
git2,"Suite: 188 tests, 61.3% API. Covers repository operations, object lookup, commit/tree/index flows, remotes; gaps: less-common FFI bindings, option setters/libgit2 error paths."
h2,"Suite: 419 tests, 85.0% API. Covers HTTP/2 connection management, streams, flow control, frames; gaps: builder/accessor APIs/rare protocol error combos."
hashbrown,"Suite: 102 tests, 68.1% API. Covers HashMap/HashSet insertion, lookup, removal, iteration; gaps: raw entry/table APIs, drain/retain variants/rehashing edges."
hashlink,"Suite: 66 tests, 81.8% API. Covers linked hash map insertion, removal, lookup, order maintenance; gaps: intrusive-list pointer edges, node relinking/entry APIs."
headers,"Suite: 112 tests, 56.1% API. Covers typed HTTP header parsing, formatting/header conversions; gaps: individual header implementations/malformed-value cases."
http,"Suite: 127 tests, 56.9% API. Covers Request/Response builders, URI parsing, headers, methods; gaps: HeaderName/HeaderValue accessors, URI component helpers/error variants."
http-body,"Suite: 30 tests, 61.5% API. Covers Body polling, size hints, trailers/frame-like async body; gaps: adapters, error paths/edges around empty or delayed bodies."
httparse,"Suite: 100 tests, 56.0% API. Covers HTTP request/response parsing, headers, partial parses/SIMD/generic scanning paths; gaps: accessor APIs, unusual malformed inputs/parser configuration paths."
imgref,"Suite: 14 tests, 91.2% API. Covers Img/ImgVec/ImgRef/ImgRefMut construction, width/height/stride, row and pixel iterators, sub_image slicing, contiguous-buffer extraction, pixel indexing; gaps: owned conversions (to_owned/into_owned), pixels_ref."
indexmap,"Generated suite: 85 tests, 88.6% API. Covers IndexMap/IndexSet insertion, ordered iteration, entry/raw-entry APIs, slices; gaps: sorting, draining, split/removal variants."
iri-string,"Suite: 10 tests, 73.1% API. Covers IRI/URI parsing, normalization, resolution, component access; gaps: conversion helpers, percent-encoding paths/unchecked validated-string internals."
jni,"Generated suite: 23 tests, 92.7% API. Covers JNI signature parsing, object wrappers, JList/JMap helpers, weak references; gaps: live-JVM integration breadth, array/field/method call variants/native FFI error paths."
jpeg-decoder,"Suite: 23 tests, 72.7% API. Covers JPEG decoding pipeline, marker parsing, IDCT/color conversion integration/image metadata handling; gaps: targeted tests for upsampling, color conversion internals/malformed image edges."
lexical-core,"Suite: 394 tests, 100.0% API. Covers numeric parse/format entry points for integers/floats across format configurations; gaps: large internal conversion branches, rare formats/buffer-boundary paths."
libsecp256k1,"Suite: 20 tests, 77.3% API. Covers key generation, signing, verification, recovery; gaps: conversions, invalid key encodings/feature-specific paths."
log,"Suite: 17 tests, 85.7% API. Covers global logger registration, macro, metadata/record handling, levels; gaps: concurrent initialization, logger replacement failures/static max-level paths."
loom,"Generated suite: 156 tests, 88.7% API. Covers model execution, threads, atomics, Arc; gaps: exhaustive interleaving coverage/rare internal scheduler paths."
matrixmultiply,"Suite: 15 tests, 100.0% API. Covers GEMM kernels, packing, strides, dimensions; gaps: architecture-specific kernels/uncommon stride/layout combos."
memchr,"Suite: 141 tests, 91.3% API. Covers single/multiple byte search, memmem, iterators, finder types; gaps: finder configuration/architecture-specific fallback combos."
memmap2,"Suite: 27 tests, 91.2% API. Covers memory map creation, mutable maps, flush/advise, options; gaps: remapping, locking, platform-specific advice."
metrics,"Suite: 17 tests, 69.6% API. Covers counter, gauge, histogram, recorder; gaps: recorder lifecycle variants, macros/builder/accessor APIs."
miette,"Suite: 172 tests, 76.6% API. Covers diagnostic reporting, source spans, formatting, graphical reports; gaps: theme/configuration variants/type-erased diagnostic edges."
rmp-serde,"Generated suite: 575 tests, 100.0% API. Covers MessagePack encode/decode round trips across nil, booleans, integers, floats; gaps: typed helpers/malformed/extreme MessagePack inputs."
native-tls,"Suite: 17 tests, 75.0% API. Covers TLS connector/acceptor setup, certificate handling, stream handshakes/platform wrapper paths; gaps: platform-specific backends, uncommon builder options/failure modes."
ndarray,"Suite: 68 tests, 83.6% API. Covers array construction, indexing, slicing, views; gaps: low-level layout edges, unchecked indexing/specialized methods."
nom,"Suite: 208 tests, 77.3% API. Covers parser combinators, byte/character parsers, streaming versus complete modes/error handling; gaps: specialized combinators/trait-specific input implementations."
nu-ansi-term,"Generated suite: 69 tests, 90.2% API. Covers ANSI styling, display formatting, Windows handling, generic strings; gaps: individual style/color helpers/platform-specific console branches."
num-bigint,"Suite: 15 tests, 87.1% API. Covers big integer arithmetic, parsing, formatting, conversion; gaps: specialized arithmetic helpers, edge-case conversions/rare trait implementations."
ordered-float,"Generated suite: 62 tests, 100.0% API. Covers OrderedFloat/NotNan comparisons, conversions, numeric traits, NaN rejection; gaps: feature-specific trait impls/additional boundary conversions."
ordered-multimap,"Suite: 113 tests, 84.2% API. Covers multi-map insertion, lookup, removal, iteration; gaps: entry/accessor variants/uncommon duplicate-key mutation sequences."
os_info,"Suite: 93 tests, 100.0% API. Covers OS detection, version parsing, architecture/platform identification/formatting; gaps: platform branches unavailable on the host/metadata accessors."
ouroboros,"Suite: 17 tests, 100.0% API. Covers self-referential struct macro construction, borrowing, mutation/drop correctness; gaps: builder variants/generated accessors."
parity-scale-codec,"Suite: 81 tests, 100.0% API. Covers SCALE encoding/decoding, compact values, derive paths, collections; gaps: auxiliary trait methods/unusual malformed-input combos."
parking_lot,"Generated suite: 97 tests, 75.0% API. Covers Mutex, RwLock, Condvar, Once; gaps: adversarial contention, deadlock-like schedules/platform timing edges."
petgraph,"Suite: 78 tests, 82.0% API. Covers graph construction, traversal, algorithms, shortest paths; gaps: iterator/accessor/builders across graph variants/matrix representations."
pin-project-lite,"Suite: 35 tests, 100.0% API. Covers macro-generated pin projection for structs/enums, visibility combos/drop guarantees; gaps: diagnostic/failure cases/macro expansion combos."
polling,"Generated suite: 36 tests, 100.0% API. Covers poller creation, event flags, epoll/windows helpers, I/O readiness; gaps: backend-specific FFI failure modes/high-load readiness races."
portable-atomic,"Suite: 1003 tests, 99.0% API. Covers atomic operations, memory orderings, compare-exchange, platform intrinsics; gaps: the repetitive per-type API surface/target-specific assembly/fallback branches."
postcard,"Suite: 65 tests, 90.5% API. Covers serde serialize/deserialize round trips, slice and std/alloc vec outputs, COBS framing, ser/de flavor adapters, CobsAccumulator streaming, varint/fixint encoding; gaps: partial take_from_bytes decode, to_extend serialization."
pulldown-cmark,"Suite: 59 tests, 54.5% API. Covers Markdown parsing, events, HTML rendering, headings; gaps: renderer options, event accessors/extension combos."
rand,"Generated suite: 148 tests, 96.8% API. Covers distributions, Bernoulli, weighted index, slice choosing; gaps: some RNG families, feature combos/statistical edges."
rayon-core,"Generated suite: 139 tests, 100.0% API. Covers thread-pool builders, panic/start/exit handlers, scopes, FIFO scopes; gaps: stressful scheduling races/builder/error combos."
rgb,"Generated suite: 27 tests, 100.0% API. Covers RGB/RGBA pixel type conversions, arithmetic, iteration, bytemuck-related layout checks; gaps: realistic image-processing flows/deeper slice-casting edges."
ring,"Suite: 94 tests, 92.3% API. Covers AEAD, digest, signature, key agreement; gaps: algorithm variants, key formats/backend-specific FFI/assembly edges."
rmp,"Suite: 575 tests, 92.7% API. Covers MessagePack encode/decode paths, serde integrations, value round trips/primitive/container formats; gaps: malformed/extreme inputs/typed helpers."
ron,"Suite: 109 tests, 92.2% API. Covers RON serialization/deserialization, parser errors, formatting, enums; gaps: convenience APIs/syntax/error variants."
openssl,"Suite: 466 tests, 73.7% API. Covers OpenSSL FFI wrappers for SSL, X509, keys, ciphers; gaps: option-heavy APIs, resource cleanup paths/backend/version-specific."
rustc-demangle,"Suite: 55 tests, 66.7% API. Covers legacy/v0 Rust symbol demangling, formatting/parser edges; gaps: formatting helpers/unusual symbol grammar branches."
scroll,"Suite: 43 tests, 50.0% API. Covers pread/pwrite/gread/gwrite-style binary parsing/writing with endian-aware primitives; gaps: trait implementation combos/malformed-buffer errors."
semver,"Suite: 38 tests, 92.3% API. Covers version/requirement parsing, comparison, matching/formatting; gaps: parser errors, feature-specific impls/helper methods."
serde_with,"Suite: 214 tests, 66.7% API. Covers serde adapter usage for display, hex, timestamps, conversions; gaps: the broad adapter surface/feature-specific serialization variants."
serde_yaml,"Suite: 174 tests, 37.8% API. Covers YAML serialization/deserialization, mappings, sequences, scalars; gaps: malformed inputs, edge-case tags/helpers."
sharded-slab,"Suite: 12 tests, 78.6% API. Covers slab insertion, removal, lookup, entry lifecycle; gaps: stressful concurrent mutation/shard/index edges."
signal-hook,"Suite: 39 tests, 82.3% API. Covers signal registration, handler installation, delivery, iterator paths; gaps: low-level sigaction wrappers, unregister paths/hard-to-reproduce signal races."
simdutf8,"Suite: 13 tests, 100.0% API. Covers SIMD/fallback UTF-8 validation for valid/invalid byte sequences; gaps: architecture-specific SIMD branches not reachable on every host."
siphasher,"Generated suite: 13 tests, 100.0% API. Covers SipHash 1-3/2-4, 64-bit/128-bit hashing, incremental hashing, idempotence; gaps: additional input-size, alignment/partial-chunk cases."
slotmap,"Suite: 10 tests, 49.1% API. Covers slot allocation, key lookup, removal, iteration; gaps: map variants, iterator paths/generational-key edges."
smallvec,"Suite: 62 tests, 80.0% API. Covers inline/spilled storage, push/pop, growth, drain; gaps: capacity transitions, raw pointer paths/APIs."
tokio,"Suite: 2455 tests, 94.1% API. Covers runtime, task scheduling, I/O, timers; gaps: large areas of platform-specific/combinator/configuration."
triomphe,"Suite: 39 tests, 70.7% API. Covers Arc-like reference counting, thin pointers, uniqueness checks, cloning; gaps: conversion helpers, unsizing/subtle reference-count lifecycle edges."
unicode-normalization,"Suite: 13 tests, 84.0% API. Covers Unicode normalization forms, decomposition/composition, quick checks/stream iteration; gaps: rare Unicode table paths/convenience APIs."
utf-8,"Suite: 26 tests, 91.7% API. Covers UTF-8 state-machine parsing, valid multi-byte sequences, continuation bytes/invalid-byte rejection; gaps: receiver/reset/accessor variants/rare table states."
uuid,"Suite: 68 tests, 80.6% API. Covers UUID parsing, formatting, generation versions, builders; gaps: feature-specific generators/nonstandard encoding/accessor variants."
value-bag,"Suite: 20 tests, 86.4% API. Covers value capture, visits, formatting, serde/sval-style integrations; gaps: visitor/conversion helpers/feature-specific paths."
winnow,"Suite: 230 tests, 72.7% API. Covers parser combinators, streaming/complete modes, token parsers, error handling; gaps: specialized combinators/recovery/helper APIs."
zopfli,"Suite: 10 tests, 54.5% API. Covers deflate, gzip, zlib output, block splitting; gaps: configuration/accessor helpers/unusual block-splitting edges."
